[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AO in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AP in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AQ in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined index: AR in /var/www/html/erpm/View/pantry_upload_atnd.php on line 119
[11-Jan-2023 09:54:30 Asia/Kolkata] PHP Notice:  Undefined variable: count in /var/www/html/erpm/View/pantry_upload_atnd.php on line 123
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type float in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/AppData/lib/PHPExcel/Cell/DefaultValueBinder.php on line 86
[11-Jan-2023 09:59:32 Asia/Kolkata] PHP Notice:  Undefined variable: count in /var/www/html/erpm/View/pantry_upload_atnd.php on line 123
