[06-Jan-2023 17:08:46 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:46 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:46 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:46 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:46 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:46 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:11:38 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/rosterz_module.php on line 265
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/rosterz_module.php on line 265
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/rosterz_module.php on line 266
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/rosterz_module.php on line 265
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/rosterz_module.php on line 266
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/rosterz_module.php on line 265
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/rosterz_module.php on line 266
[06-Jan-2023 17:11:39 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/rosterz_module.php on line 265
